instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;inatividade;efetividade_pos
"_beabio
";beabio_;01/04/2021;31/03/2021;09/03/2023;24;12;;708;
alicereis16;alicereis16;14/04/2023;02/06/2023;01/08/2023;12;4;;60;
"brayozoa
";brayozoa;23/11/2023;25/11/2023;25/11/2023;;;;0;
camilatotti_;camila_totti;05/01/2021;05/01/2021;02/05/2022;5;3;;482;
"cauapc
";pablo_caua;14/03/2021;31/03/2023;04/11/2023;467;282;;218;
gabriellymaria;gabriellymaria;04/04/2023;29/06/2023;29/06/2023;1;1;;0;
herpetonogueira;herpetonogueira;23/06/2011;24/06/2011;18/11/2023;165;87;;4530;
juand1211;juan218;08/01/2018;08/01/2018;19/01/2019;;;;376;
kaylane.almeida;kaylanealmeida;12/04/2023;02/06/2023;30/06/2023;13;4;;28;
"kerensoares_
"; keren_soares2003;21/05/2023;07/06/2023;30/07/2023;12;5;;53;
"nandaporifera
";fernanda_azevedo;06/12/2021;21/01/2022;31/01/2023;;;;375;
nathanrm1;nathanrm12;10/05/2023;10/05/2023;23/05/2023;;;;13;
nchnogueira;ncnogueira;08/06/2023;08/06/2023;28/06/2023;13;10;;20;
phillypecaputo;phillype1;06/12/2023;06/12/2023;06/12/2023;;;13/05/2023;0;-207
ljtcardoso;ljtcardoso;25/07/2021;25/07/2021;22/05/2023;472;266;;666;
diasleticia.m;diasleticia;28/05/2023;01/06/2023;22/09/2023;251;108;;113;
rafa_biologia;biorafa14;31/10/2021;30/12/2023;30/12/2023;91;73;;0;
;caiocrelier;29/07/2020;28/07/2020;05/11/2023;90;31;;1195;
;marcelomadeira;17/05/2023;05/06/2023;01/10/2023;75;29;;118;
;caiobastos;12/01/2020;14/01/2020;28/05/2023;50;10;;1230;
;henriquemoutinho;26/03/2019;26/03/2019;18/11/2023;48;43;;1698;
;diogoluiz;15/06/2019;15/06/2019;22/11/2023;42;31;;1621;
;r_a_b;15/01/2019;29/01/2019;21/10/2023;33;15;;1726;
;thiagolyra;27/06/2022;27/06/2022;21/11/2023;32;21;;512;
;juliagms21;02/06/2022;01/06/2022;20/06/2023;29;13;;384;
;navarro22;25/06/2020;25/07/2020;30/11/2023;27;13;;1223;
;edvandroabreuribeiro;05/01/2021;05/01/2021;30/11/2023;24;15;;1059;
;rogerriodias;21/03/2015;21/11/2020;29/11/2023;23;14;;1103;
;lethiciamotta;07/06/2023;07/06/2023;30/06/2023;22;11;;23;
;gyovana;29/06/2022;14/11/2022;25/07/2023;22;7;;253;
;jubertdownzon;04/06/2023;05/06/2023;13/11/2023;21;6;;161;
;larokin;19/11/2019;19/11/2019;22/03/2023;20;14;;1219;
;yagotelles1;16/07/2020;16/07/2020;10/06/2023;19;6;;1059;
;thiciana_sasse;23/01/2021;23/01/2021;11/06/2023;18;11;;869;
;soutonm;14/07/2023;14/07/2023;11/09/2023;16;6;;59;
;yandra2;18/01/2023;21/01/2023;03/12/2023;14;5;;316;
;millerpessanha;14/11/2022;14/11/2022;21/10/2023;13;8;;341;
;cverdan11;07/06/2023;07/06/2023;12/06/2023;11;2;;5;
;eduardo901;28/11/2021;28/11/2021;17/05/2023;11;2;;535;
;bruno_stellet;27/03/2021;27/03/2021;20/01/2022;11;7;;299;
;maduscia;20/06/2020;13/07/2020;23/07/2021;11;5;;375;
;pedrocaetano;20/07/2022;20/07/2022;16/10/2022;10;10;;88;
;bernardo77;26/03/2021;25/03/2021;01/12/2023;10;6;;981;
;leandroschuvartz;30/12/2019;02/01/2020;08/09/2021;10;7;;615;
;ajluz;29/11/2018;28/11/2018;22/09/2022;10;5;;1394;
;evellin1;04/11/2021;04/11/2021;04/11/2021;8;3;;0;
;juliaju;04/11/2019;09/11/2019;01/02/2021;8;6;;450;
;vicentebernard;29/09/2019;04/11/2019;24/01/2023;8;3;;1177;
;lulatred;10/01/2023;10/01/2023;18/10/2023;6;3;;281;
;allanis;07/11/2022;07/11/2022;23/09/2023;6;0;;320;
;myth_23;04/07/2021;12/07/2021;23/11/2023;6;4;;864;
;kaiomacedo;31/01/2020;31/01/2020;11/02/2021;6;3;;377;
;projetomantis;26/06/2018;04/11/2019;20/08/2023;6;2;;1385;
;analeticiagds;29/06/2023;29/06/2023;30/06/2023;5;3;;1;
;jorgeleite;16/01/2023;16/01/2023;01/12/2023;5;4;;319;
;pejota;27/01/2021;27/01/2021;28/03/2021;5;3;;60;
;tnecc;26/01/2020;26/01/2020;24/02/2020;5;4;;29;
;leonardo262;18/01/2020;18/01/2020;07/10/2021;5;2;;628;
;lucasrocha;21/01/2019;21/01/2019;10/09/2020;5;4;;598;
;vechisholm;21/07/2017;23/07/2017;20/08/2023;5;5;;2219;
;vanessa_trally;29/08/2023;29/08/2023;13/09/2023;4;4;;15;
;sergio938;17/06/2022;10/01/2023;10/10/2023;4;4;;273;
;krenakpx;04/07/2021;04/07/2021;01/10/2023;4;1;;819;
;pedroguerrams;15/03/2021;07/07/2021;03/09/2023;4;4;;788;
;diego_nunes;14/02/2021;10/03/2021;15/12/2022;4;3;;645;
;marcos_eduardo;17/01/2021;29/01/2022;06/07/2022;4;3;;158;
;danmhaddad;14/07/2020;01/11/2020;20/11/2023;4;3;;1114;
;leo201;05/11/2019;06/11/2019;25/02/2020;4;2;;111;
;md-in-ns15;17/03/2018;17/03/2018;02/12/2023;4;4;;2086;
;ademirxavierdias;26/06/2022;26/06/2022;19/04/2023;3;0;;297;
;joao_bezerra;04/01/2022;04/01/2022;28/10/2023;3;2;;662;
;brunobio;22/11/2021;29/11/2021;25/10/2022;3;1;;330;
;andressatito;13/03/2021;13/03/2021;30/01/2022;3;2;;323;
;rovaniflresdelima;22/05/2020;03/06/2020;08/02/2023;3;0;;980;
;frednc22;21/01/2020;20/01/2020;24/02/2020;3;1;;35;
;karine80;10/01/2020;14/01/2020;10/01/2021;3;0;;362;
;rafaeltravassos;21/11/2019;24/11/2019;01/12/2023;3;2;;1468;
;felipe879;12/04/2023;21/06/2023;29/06/2023;2;1;;8;
;msmarcosalmeida;28/01/2023;27/03/2023;27/03/2023;2;0;;0;
;monique381;04/07/2022;04/07/2022;04/07/2022;2;1;;0;
;miguelrelvas31;11/06/2022;10/06/2022;29/11/2023;2;2;;537;
;pedro991;03/06/2022;03/06/2022;20/11/2023;2;2;;535;
;luciana_mirapalhete;27/03/2022;27/03/2022;27/03/2022;2;1;;0;
;eider_siqueira;06/06/2021;06/06/2021;06/06/2021;2;1;;0;
;maria_aparecida2;02/06/2021;02/06/2021;02/06/2021;2;0;;0;
;almir_herms;15/01/2021;20/01/2021;20/01/2021;2;1;;0;
;neilton_caetano;14/11/2020;13/11/2020;02/09/2023;2;1;;1023;
;paulocvr;05/11/2020;05/11/2020;05/11/2020;2;0;;0;
;frederik99;27/06/2020;09/07/2020;02/10/2023;2;2;;1180;
;tiagogarcia;11/06/2020;11/06/2020;21/07/2020;2;1;;40;
;rafaelbessa;08/01/2020;08/01/2020;01/10/2023;2;0;;1362;
;silvio36;10/07/2019;10/07/2019;01/08/2019;2;0;;22;
;gustavohenrique1;14/05/2019;09/11/2020;28/11/2023;2;2;;1114;
;michelotto;19/07/2018;20/07/2018;02/12/2023;2;2;;1961;
;jacanteros;31/01/2016;31/01/2016;17/11/2023;2;1;;2847;
;milenaviana;27/11/2023;26/11/2023;26/11/2023;1;0;;0;
;bruna79274;04/11/2023;04/11/2023;04/11/2023;1;1;;0;
;arthurwsl;30/06/2023;30/06/2023;30/06/2023;1;1;;0;
;vitorbernabe;28/06/2023;30/06/2023;02/07/2023;1;0;;2;
;adrianagomes;11/06/2023;11/06/2023;11/06/2023;1;1;;0;
;thayanemota;29/04/2023;29/04/2023;29/04/2023;1;0;;0;
;gaspar_repteis;16/04/2023;16/04/2023;16/04/2023;1;1;;0;
;daniel5514;02/03/2023;02/03/2023;19/09/2023;1;1;;201;
;rsouza_25;14/02/2023;14/02/2023;14/02/2023;1;1;;0;
;andressa90;21/11/2022;21/11/2022;21/11/2022;1;0;;0;
;rodrigo-cruz;05/11/2022;05/11/2022;05/11/2022;1;0;;0;
;danillo7;07/09/2022;12/11/2022;12/11/2022;1;1;;0;
;mateus_vasconcelos;29/07/2022;02/01/2023;25/01/2023;1;1;;23;
;nelya_777;11/07/2022;11/07/2022;02/10/2023;1;1;;448;
;livia119;04/07/2022;04/07/2022;04/07/2022;1;1;;0;
;joaokkjk;04/07/2022;04/07/2022;04/07/2022;1;1;;0;
;giovana50;04/07/2022;04/07/2022;04/07/2022;1;1;;0;
;super12;04/07/2022;04/07/2022;04/07/2022;1;0;;0;
;edson102;04/07/2022;04/07/2022;04/07/2022;1;1;;0;
;taiane5;04/07/2022;04/07/2022;04/07/2022;1;0;;0;
;geraldo28;25/06/2022;15/07/2023;15/07/2023;1;1;;0;
;reginaldo12;22/06/2022;22/06/2022;22/06/2022;1;1;;0;
;constantinoferreira;07/06/2022;02/07/2022;12/06/2023;1;0;;345;
;beth753;13/03/2022;13/03/2022;13/03/2022;1;0;;0;
;talita_cristie;27/02/2022;27/03/2022;27/03/2022;1;0;;0;
;juliana_mafort;30/01/2022;30/01/2022;30/01/2022;1;0;;0;
;reginaldo10;26/01/2022;26/01/2022;26/01/2022;1;0;;0;
;victor_parente;18/01/2022;18/01/2022;18/09/2022;1;1;;243;
;guerrante;18/01/2022;17/01/2022;18/11/2023;1;0;;670;
;isabel_lima1;14/01/2022;14/01/2022;20/09/2022;1;0;;249;
;gustavo547;04/01/2022;04/01/2022;04/01/2022;1;1;;0;
;hugo_aguiar;14/12/2021;14/12/2021;14/12/2021;1;1;;0;
;daniel3465;27/11/2021;27/11/2021;27/11/2021;1;0;;0;
;pietro162;22/11/2021;22/11/2021;22/11/2021;1;0;;0;
;biologohenrique;10/11/2021;10/11/2021;10/11/2021;1;0;;0;
;beport;31/10/2021;02/11/2021;05/11/2021;1;0;;3;
;amaro3;24/10/2021;24/10/2021;24/10/2021;1;1;;0;
;ana_angelica;19/10/2021;19/10/2021;19/10/2021;1;1;;0;
;macajorge;10/08/2021;10/08/2021;10/08/2021;1;0;;0;
;luma_coelho;27/07/2021;28/07/2021;01/07/2023;1;0;;703;
;luanamauad;25/07/2021;25/07/2021;25/07/2021;1;0;;0;
;jose_ricardo1;22/07/2021;22/07/2021;22/07/2021;1;0;;0;
;gabriel_motomura;25/06/2021;25/06/2021;28/01/2023;1;0;;582;
;eric_goncalves_moraes;29/11/2020;28/11/2020;28/11/2020;1;0;;0;
;alexsandro6;23/11/2020;27/11/2020;27/11/2020;1;0;;0;
;patrice_ponchant;31/10/2020;21/09/2020;28/08/2022;1;1;;706;
;joice10;30/07/2020;30/07/2020;30/07/2020;1;0;;0;
;jane455;19/07/2020;19/07/2020;19/07/2020;1;0;;0;
;rafaellamonteiro;13/06/2020;13/06/2020;13/06/2020;1;0;;0;
;vkurtlo;07/06/2020;07/06/2020;20/11/2023;1;1;;1261;
;fredericosantosmachado;25/05/2020;27/01/2021;02/12/2023;1;1;;1039;
;alessandro_terra_paes;22/05/2020;25/07/2021;01/08/2022;1;1;;372;
;gabrielvighetto;10/05/2020;13/06/2020;19/11/2021;1;0;;524;
;danielweberling;10/03/2020;20/01/2023;20/01/2023;1;0;;0;
;lohansantos;04/03/2020;04/03/2020;18/11/2023;1;1;;1354;
;marcoapedro;27/01/2020;27/01/2020;09/02/2020;1;0;;13;
;projetophasma;23/01/2020;16/06/2020;04/12/2023;1;1;;1266;
;matheussoares1;13/01/2020;31/01/2020;12/08/2023;1;1;;1289;
;jeffersonleandro;02/11/2019;02/11/2019;02/11/2019;1;1;;0;
;carlosvidigal;20/08/2019;13/11/2019;02/12/2023;1;1;;1480;
;gdelhaye;22/07/2019;22/07/2019;02/12/2023;1;0;;1594;
;alineporto;06/07/2019;06/07/2019;06/07/2019;1;0;;0;
;fazmatadoscocais;11/06/2019;07/07/2019;07/07/2019;1;0;;0;
;leonardopires;13/12/2018;13/12/2018;13/12/2018;1;0;;0;
;gabriel236;11/11/2018;11/11/2018;11/11/2018;1;1;;0;
;anniecruz;16/10/2018;16/10/2018;16/10/2018;1;1;;0;
;adalbertoserafimquintal;28/04/2019;08/03/2020;08/03/2020;1;0;;0;
;flaviocbatista;29/07/2018;29/07/2018;29/07/2018;1;0;;0;
;marcelobrotto;09/06/2018;18/06/2018;03/11/2023;1;1;;1964;
;jubia;27/01/2017;27/01/2017;27/01/2017;1;1;;0;
;dimgripp;22/06/2014;29/07/2020;11/01/2021;1;1;;166;
david.pdutra;david_paulo;11/12/2022;04/09/2023;04/04/2023;;;02/12/2023;-153;89
eloahsaintclair;eloahsaintclair;12/08/2022;13/05/2023;13/04/2023;;;;-30;
jocianefrans;jociane_franca_da_silva;22/05/2021;22/05/2021;22/04/2021;;;02/12/2023;-30;924
jvrfraga;;30/01/2022;01/01/2022;01/04/2022;1;0;;90;
"marianna__cs
";marianna_c_santos;13/05/2023;13/05/2023;14/04/2023;23;14;13/05/2023;-29;0
amobichofeio;thallithestickbug;23/10/2019;23/12/2019;04/04/2023;258;86;;1198;
val.diphylleiagrayi;diphylleiagrayi;12/04/2022;12/04/2022;10/04/2023;115;50;;363;
genasciment_;genasciment_;13/05/2023;13/04/2023;13/04/2023;;;13/05/2023;0;30
yaixx_ff;yaixx;13/05/2023;13/04/2023;14/04/2023;;;13/05/2023;1;30
Inara Campista de Andrade;inara10;13/05/2023;13/04/2023;13/04/2023;;;13/05/2023;0;30
;kalki_pinheiro;14/05/2021;14/04/2021;06/04/2022;79;58;;357;
;yagotelles;18/02/2020;18/04/2020;05/04/2020;45;18;;-13;
;mpaixao;25/01/2023;19/04/2023;09/04/2023;41;31;;-10;
;micaelrodrigues;05/05/2023;09/04/2023;27/04/2023;40;32;;18;
;rosalaura;02/04/2023;18/04/2023;15/04/2023;25;18;;-3;
;levi191;05/05/2023;05/04/2023;02/04/2023;22;6;;-3;
;mcrisgag;19/04/2023;13/04/2023;14/04/2023;22;10;;1;
