instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;inatividade;efetividade_pos
;jacobira;11/05/2022;16/04/2022;18/04/2023;22;21;;367;
;gabriela_maite;18/05/2023;18/04/2023;20/04/2023;17;10;;2;
;pfeliz;28/08/2022;28/04/2022;31/04/2022;16;2;;#VALOR!;
;kaua_batista;13/12/2021;01/04/2021;01/04/2023;14;10;;730;
;ines_santos;03/11/2020;01/04/2020;24/04/2023;14;7;;1118;
;rafaelrez;22/08/2020;01/04/2020;18/04/2023;11;6;;1112;
;juliomagalhes;11/09/2020;16/04/2020;14/04/2023;10;5;;1093;
;janne_;15/08/2022;30/04/2022;13/04/2023;8;6;;348;
;madalenaecoturismo;30/11/2019;01/04/2019;17/04/2022;8;2;;1112;
;luciana26;05/08/2018;05/04/2018;03/04/2020;8;4;;729;
;nunesopedro;16/05/2023;16/04/2023;17/04/2023;7;6;;1;
;julio_couto;06/04/2023;07/04/2023;13/04/2023;7;4;;6;
;cketherin_costa;28/10/2020;28/04/2020;26/04/2023;7;5;;1093;
;daniel17375bio;15/09/2023;15/04/2023;27/04/2023;6;2;;12;
;genasciment_;13/05/2023;13/04/2023;13/04/2023;6;2;;0;
;marco_sena;28/08/2021;27/04/2021;02/04/2023;6;3;;705;
;antoniobordignon;02/09/2022;02/04/2022;28/04/2023;5;4;;391;
;diegojsantana;27/12/2020;28/04/2020;01/04/2023;5;3;;1068;
;caiocaetano98;15/12/2022;17/04/2022;17/04/2022;4;4;;0;
;heniosup;07/06/2022;23/04/2023;01/04/2023;4;4;;-22;
;lorram;06/02/2020;06/04/2020;27/04/2023;4;1;;1116;
;julianathomazini;13/10/2019;13/04/2019;01/04/2023;4;2;;1449;
;moopellegrini;01/04/2019;02/04/2019;26/04/2021;4;1;;755;
;kayky1;13/05/2023;13/04/2023;25/04/2023;3;2;;12;
;juliana2507;20/05/2022;24/04/2022;25/04/2022;3;1;;1;
;frederico_abreu;06/02/2022;08/04/2022;14/04/2022;3;2;;6;
;izabellafertunes;21/10/2021;21/04/2021;25/04/2021;3;2;;4;
;luis_felipe_carvalho;20/02/2021;21/04/2021;25/04/2023;3;0;;734;
;ana_paula12;18/01/2021;03/04/2023;23/04/2023;3;3;;20;
;nonestfinis;16/02/2020;16/04/2020;18/04/2020;3;1;;2;
;gabriel_santos;14/10/2019;15/04/2019;10/04/2023;3;3;;1456;
;marcos138;12/10/2019;12/04/2019;12/04/2019;3;3;;0;
;pinheiro1;31/10/2018;07/04/2019;31/04/2018;3;1;;#VALOR!;
;carolaraujo81;08/09/2023;01/04/2023;10/04/2023;2;1;;9;
;claradeca;31/08/2023;31/04/2023;31/04/2023;2;2;;#VALOR!;
;grhifen;27/07/2023;15/04/2023;22/04/2023;2;1;;7;
;isabel81463;29/06/2023;11/04/2023;17/04/2023;2;0;;6;
;admircjr;25/05/2023;25/04/2023;08/04/2023;2;2;;-17;
;yasmincordeiro;21/05/2023;21/04/2023;30/04/2023;2;0;;9;
;maisa21;13/05/2023;13/04/2023;01/04/2023;2;1;;-12;
;gustavooow26;13/05/2023;13/04/2023;01/04/2023;2;1;;-12;
;rebio-uniao;26/12/2022;01/04/2022;01/04/2023;2;2;;365;
;robson56;02/11/2022;03/04/2022;24/04/2023;2;0;;386;
;xrvictorsilva;24/08/2022;24/04/2022;02/04/2023;2;2;;343;
;amanda2595;26/04/2022;26/04/2022;26/04/2022;2;0;;0;
;raquelrenno;13/04/2022;13/04/2022;27/04/2023;2;2;;379;
;leo496;09/04/2022;09/04/2022;10/04/2023;2;0;;366;
;vinicius144;09/12/2021;10/04/2021;07/04/2022;2;1;;362;
;juliathedim;02/11/2021;24/04/2022;01/04/2023;2;1;;342;
;dayse5;23/10/2021;23/04/2021;27/04/2022;2;0;;369;
;carlos_moura;01/09/2021;01/04/2021;20/04/2023;2;2;;749;
;regildo;29/08/2021;28/04/2021;29/04/2021;2;0;;1;
;matheus_guimaraes;16/04/2021;15/04/2021;20/04/2022;2;0;;370;
;sejanaturalista;21/12/2020;22/04/2020;01/04/2022;2;1;;709;
;attila21;20/12/2019;21/04/2019;01/04/2023;2;1;;1441;
;hiego;23/02/2019;23/04/2019;28/04/2019;2;2;;5;
;stephany30642;27/10/2023;27/04/2023;01/04/2023;1;1;;-26;
;angela2000;12/05/2023;14/04/2023;20/04/2023;1;0;;6;
;lrmont;24/04/2023;24/04/2023;30/04/2023;1;1;;6;
;guilherme_lc;27/12/2022;29/04/2022;10/04/2023;1;1;;346;
;rao22;26/12/2022;26/04/2022;31/04/2022;1;1;;#VALOR!;
;raissa40;13/12/2022;13/04/2022;13/04/2022;1;0;;0;
;plinio_elias;25/10/2022;25/04/2022;25/04/2022;1;1;;0;
;itwk;26/09/2022;26/04/2022;12/04/2023;1;0;;351;
;leticiavasques;26/09/2022;25/04/2022;25/04/2022;1;1;;0;
;luisandre;01/09/2022;01/04/2022;01/04/2022;1;1;;0;
;afonso38;14/07/2022;23/04/2022;23/04/2022;1;1;;0;
;insect_ed;10/04/2022;10/04/2022;24/04/2023;1;1;;379;
;monteiro_alves;09/04/2022;09/04/2022;09/04/2022;1;0;;0;
;urielbio_;26/12/2021;21/04/2022;21/04/2022;1;1;;0;
;morena_nava;15/12/2021;18/04/2021;16/04/2023;1;1;;728;
;hebert_gabriel;21/09/2021;21/04/2021;21/04/2021;1;0;;0;
;samuel639;07/09/2021;07/04/2021;07/04/2021;1;1;;0;
;iasmin4;28/08/2021;28/04/2021;09/04/2021;1;0;;-19;
;clara303;13/05/2021;12/04/2021;25/04/2021;1;0;;13;
;amanda_santos1;10/05/2021;10/04/2021;01/04/2023;1;0;;721;
;evely1;14/04/2021;14/04/2021;14/04/2021;1;1;;0;
;criscolodel;30/11/2020;02/04/2020;03/04/2023;1;1;;1096;
;yasmin_simoes;29/10/2020;29/04/2020;29/04/2020;1;0;;0;
;felipe373;20/10/2020;20/04/2020;20/04/2020;1;0;;0;
;luiz_carlos;13/10/2020;13/04/2020;13/04/2020;1;0;;0;
;leinadesil;06/10/2020;06/04/2020;06/04/2020;1;0;;0;
;ramona_andrade_xavier;30/09/2020;30/04/2020;30/04/2020;1;0;;0;
;veronicareis;21/09/2020;21/04/2020;27/04/2021;1;0;;371;
;diegomartins;09/09/2020;09/04/2020;09/04/2020;1;0;;0;
;thanial;31/08/2020;31/04/2020;31/04/2020;1;1;;#VALOR!;
;analuciajardim;26/07/2020;01/04/2020;01/04/2020;1;1;;0;
;mariana345;23/05/2020;23/04/2020;23/04/2020;1;0;;0;
;sergio438;17/05/2020;17/04/2020;17/04/2020;1;0;;0;
;henrique48;12/05/2020;12/04/2020;12/04/2020;1;0;;0;
;joo126;11/05/2020;11/04/2020;11/04/2020;1;0;;0;
;felipemarron;30/04/2020;30/04/2020;30/04/2020;1;0;;0;
;adilsonbezerra;25/04/2020;25/04/2020;06/04/2020;1;1;;-19;
;srramos;23/04/2020;23/04/2020;23/04/2020;1;0;;0;
;mirzabenine;10/04/2020;10/04/2020;10/04/2020;1;0;;0;
;luizcury;02/04/2020;02/04/2020;02/04/2020;1;1;;0;
;victorsartrio;18/02/2020;21/04/2023;21/04/2023;1;1;;0;
;ricardo375;04/08/2019;04/04/2019;04/08/2019;1;0;;122;
;bernardo40;11/05/2019;12/04/2019;12/05/2019;1;1;;30;
;marcelomachado;28/04/2019;28/04/2019;30/09/2019;1;0;;155;
;patrickperson;23/04/2019;08/04/2019;02/09/2023;1;1;;1608;
;mmlsrj;30/12/2018;22/04/2019;30/12/2018;1;0;;-113;
;alessandra87;28/10/2018;28/04/2018;04/05/2019;1;0;;371;
;karolinegabriele;10/09/2018;15/04/2018;17/09/2018;1;0;;155;
;nena_bergallo;19/05/2018;27/04/2018;14/12/2023;1;0;;2057;
;wcostarodrigues;22/04/2018;22/04/2018;21/08/2023;1;1;;1947;
;asato;28/05/2015;28/04/2015;28/05/2015;1;0;;30;
cammcordeiro;cammcordeiro;04/11/2015;29/04/2020;30/06/2023;15;3;;1157;
"ana___valadares
";ana2472;31/05/2023;31/04/2023;28/06/2023;;;;#VALOR!;
"gajovencio
";gabrieljovencio;03/04/2023;03/04/2023;13/11/2023;433;191;02/12/2023;224;243
"ingridmonzato
";ingrid536;13/05/2023;13/04/2023;08/06/2023;4;1;13/05/2023;56;30
ojpedrosaf;ojpedrosaf;05/04/2023;28/04/2023;03/11/2023;30;16;;189;
maryanealmeida;nanyalmeida;15/04/2023;23/04/2023;30/11/2023;68;46;;221;
lethsleh;lethsleh;16/09/2023;16/04/2023;28/11/2023;8;3;;226;
;ivanpessanha;12/05/2020;11/04/2020;07/11/2023;195;81;;1305;
;julioalmeida;04/05/2020;04/04/2020;30/10/2023;129;45;;1304;
;claudiomartins;06/04/2019;06/04/2019;27/11/2023;106;79;;1696;
;mitidi;25/05/2020;24/04/2020;17/11/2023;75;60;;1302;
;graziflorindo;03/12/2021;03/04/2021;26/11/2023;62;25;;967;
;guiiscoo;14/11/2020;12/04/2020;29/06/2023;52;22;;1173;
;rogeriopeccioli;16/05/2023;15/04/2023;26/07/2023;39;25;;102;
;clairpxt;20/05/2023;28/04/2023;12/11/2023;32;16;;198;
;fabricio117;19/04/2023;06/04/2023;24/11/2023;30;15;;232;
;heitorpsc;21/08/2020;20/04/2020;16/01/2022;29;13;;636;
;ssmeds;23/08/2021;23/04/2021;12/11/2023;26;16;;933;
;callithrix_np;17/05/2020;17/04/2020;22/11/2023;26;13;;1314;
;rodrigotinoco;30/01/2012;19/04/2021;19/01/2023;25;18;;640;
;gabrielly0908;14/04/2023;14/04/2023;30/06/2023;23;7;;77;
;ana2472;31/05/2023;31/04/2023;28/06/2023;21;9;;#VALOR!;
;samuelbneves;18/05/2023;18/04/2023;28/11/2023;20;11;;224;
;rayssatavares;14/04/2023;14/04/2023;30/06/2023;20;11;;77;
;caiodiasbio;07/04/2023;30/04/2023;30/11/2023;19;9;;214;
;flaviomendes;07/04/2018;07/04/2018;30/11/2023;19;15;;2063;
;cammcordeiro;04/11/2015;29/04/2020;30/06/2023;15;3;;1157;
;paul127;20/10/2016;19/04/2016;21/11/2023;10;10;;2772;
;camylafv;09/02/2022;11/04/2022;02/07/2022;9;6;;82;
;roberthagiohana;08/04/2023;13/04/2023;13/06/2023;8;4;;61;
;joao431;21/10/2022;21/04/2022;08/06/2023;8;1;;413;
;jeancomjota;16/11/2020;12/04/2021;14/11/2023;8;5;;946;
;rodneyf;29/05/2019;29/04/2019;24/11/2023;8;7;;1670;
;cpa-tiatelinda;28/10/2023;29/04/2023;22/11/2023;6;2;;207;
;theo163;31/10/2021;31/04/2021;18/06/2022;6;2;;#VALOR!;
;gabcolonese;13/09/2020;13/04/2020;17/07/2022;6;4;;825;
;ana667;14/12/2019;14/04/2019;14/12/2019;6;4;;244;
;karinacarvalho;13/05/2023;13/04/2023;25/07/2023;4;3;;103;
;maria199999;17/04/2023;17/04/2023;01/06/2023;4;2;;45;
;atillaferreguetti;21/08/2021;20/04/2021;22/11/2021;4;2;;216;
;tati_xavier;04/12/2020;05/04/2020;26/06/2023;4;2;;1177;
;adassoler;22/05/2020;22/04/2020;12/06/2023;4;3;;1146;
;brunoornitologia;11/09/2018;11/04/2018;06/11/2023;4;4;;2035;
;pedrogc;17/01/2013;08/04/2021;02/11/2023;4;4;;938;
;marcia_batista;08/08/2021;08/04/2021;06/11/2021;3;0;;212;
;pedro_tavares_nunes;14/04/2021;08/04/2021;21/06/2021;3;2;;74;
;victormedella;10/01/2020;18/04/2020;14/11/2023;3;3;;1305;
;gilmarcbj;26/05/2023;26/04/2023;29/06/2023;2;0;;64;
;gabrielabonfim;24/04/2020;24/04/2020;28/11/2023;2;2;;1313;
;joopedrosalgado;29/09/2019;25/04/2019;27/07/2020;2;2;;459;
;fabriceprugnaud;22/09/2018;28/04/2019;20/11/2023;2;1;;1667;
;victoria61;21/08/2017;22/04/2017;21/11/2023;2;0;;2404;
;kahptain;30/08/2023;29/04/2023;21/11/2023;1;1;;206;
;thiagotapias;28/12/2022;28/04/2022;28/07/2023;1;1;;456;
;raphaelsneves;30/10/2022;01/04/2022;30/07/2023;1;1;;485;
;andrehronzani;24/10/2022;28/04/2022;23/11/2023;1;1;;574;
;andrey169;13/07/2022;07/04/2022;06/11/2023;1;1;;578;
;allan323;20/05/2022;20/04/2022;10/01/2023;1;1;;265;
;isabelportugal;12/05/2022;11/04/2022;09/07/2022;1;1;;89;
;meu_diario_da_natureza;19/04/2022;19/04/2022;29/06/2023;1;0;;436;
;simonne_teixeira;16/04/2022;16/04/2022;18/11/2023;1;0;;581;
;monica792;27/09/2021;28/04/2021;09/11/2023;1;0;;925;
;mariana-chiesa;24/04/2021;01/04/2021;05/07/2022;1;0;;460;
;voltz;01/12/2020;01/04/2020;15/01/2023;1;0;;1019;
;cidawerneck;18/10/2019;18/04/2019;08/11/2023;1;1;;1665;
;lirajr;27/09/2019;27/04/2019;25/07/2023;1;1;;1550;
;pamelapequeno;16/09/2019;26/04/2019;17/06/2023;1;1;;1513;
;ccostah;11/08/2019;28/04/2019;30/11/2023;1;1;;1677;
;cameronramsey;20/04/2019;19/04/2019;04/11/2023;1;1;;1660;
;arneholgersson;31/12/2018;31/04/2018;23/11/2023;1;1;;#VALOR!;
;jssica9;05/09/2018;03/04/2021;06/07/2022;1;0;;459;
;adelmoodesouza;23/08/2015;23/04/2015;07/03/2020;1;1;;1780;
;flavio3;28/05/2015;28/04/2015;05/07/2016;1;1;;434;
;rontavius;31/01/2011;01/04/2012;25/11/2023;1;0;;4255;
barroqueslais;barroques;06/06/2022;;;;;;0;
brennogbarros;brenno13;03/04/2023;;;;;;0;
caryne_braga;caryne;08/04/2021;;;;;;0;
jaque_wagen;jaqueline16163;25/09/2023;;;;;;0;
"julia.calanca
";juliacalanca;25/10/2023;;;;;;0;
larissasouzasg;lrssgxx;02/12/2023;;;;;02/12/2023;0;45262
"thiagocmendes
";thiago_mendes;09/03/2021;;;;;;0;
zabellacampos;;;;;;;13/05/2023;0;45059
maycruzn;mayracruzbio;13/05/2023;;;;;13/05/2023;0;45059
nayradrumond;;;;;;;13/05/2023;0;45059
Maria Fernanda Falcão;maria_fernanda199;13/05/2023;;;;;13/05/2023;0;45059